;model_id;asset;abs_metric;acf_id_lag=1;cross_correl;sig_w1_metric;r2_tstr;r2_trtr;lag
0;GMMN;;0,01259;0,01441;0,01603;0,25811;0,30742;0,33305;4,00000
1;RCGAN;;0,01182;0,04879;0,00235;0,21876;0,30924;0,33305;4,00000
2;SigCGAN;;0,01142;0,01106;0,00489;0,14098;0,31642;0,33305;4,00000
3;TimeGAN;;0,02191;0,03267;0,04408;0,23398;0,30240;0,33305;4,00000
