;model_id;asset;abs_metric;acf_id_lag=1;cross_correl;sig_w1_metric;r2_tstr;r2_trtr;lag
0;GMMN;;0,00859;0,03930;0,03030;0,26853;0,28072;0,32614;3,00000
1;RCGAN;;0,01685;0,08823;0,02341;0,20943;0,30727;0,32614;3,00000
2;SigCGAN;;0,00852;0,00546;0,00520;0,14682;0,31913;0,32614;3,00000
3;TimeGAN;;0,02401;0,06651;0,02928;0,22761;0,30556;0,32614;3,00000
