;model_id;phi;sigma;abs_metric;acf_id_lag=1;cross_correl;sig_w1_metric;r2_tstr;r2_trtr
0;GMMN;0,80000;0,50000;0,01088;0,11995;0,39341;1,20472;0,50171;0,65168
1;GMMN;0,50000;0,80000;0,00807;0,05821;0,11066;0,84918;0,17112;0,26006
2;GMMN;0,20000;0,80000;0,00813;0,03396;0,07070;0,83522;-0,00986;0,04409
3;GMMN;0,80000;0,80000;0,00719;0,09771;0,18204;0,98725;0,53420;0,65189
4;GMMN;0,80000;0,20000;0,01078;0,09474;0,22464;1,24823;0,49546;0,65147
5;RCGAN;0,80000;0,50000;0,00823;0,10688;0,29171;1,11298;0,58548;0,65168
6;RCGAN;0,50000;0,80000;0,00804;0,07413;0,26095;0,92725;0,20427;0,26006
7;RCGAN;0,20000;0,80000;0,00766;0,02981;0,14892;0,74111;0,02655;0,04409
8;RCGAN;0,80000;0,80000;0,00780;0,03554;0,21181;0,95990;0,59510;0,65189
9;RCGAN;0,80000;0,20000;0,00933;0,08884;0,09807;1,16504;0,59151;0,65147
10;SigCGAN;0,80000;0,50000;0,00500;0,00366;0,01101;0,26807;0,65080;0,65168
11;SigCGAN;0,50000;0,80000;0,00686;0,00503;0,00255;0,39704;0,25797;0,26006
12;SigCGAN;0,20000;0,80000;0,00651;0,01217;0,00652;0,50114;0,04011;0,04409
13;SigCGAN;0,80000;0,80000;0,00530;0,00241;0,00591;0,26876;0,65113;0,65189
14;SigCGAN;0,80000;0,20000;0,00430;0,00242;0,01651;0,26635;0,65034;0,65147
15;TimeGAN;0,80000;0,50000;0,01049;0,02448;0,22346;0,91256;0,61403;0,65168
16;TimeGAN;0,50000;0,80000;0,02199;0,05586;0,51807;1,08814;0,20638;0,26006
17;TimeGAN;0,20000;0,80000;0,02688;0,05779;0,23010;1,26266;0,00996;0,04409
18;TimeGAN;0,80000;0,80000;0,00995;0,07958;0,24746;0,88508;0,60905;0,65189
19;TimeGAN;0,80000;0,20000;0,01305;0,03194;0,12008;0,84668;0,63052;0,65147
